,,,Args,,,,,,,
NR,Syscall,# Args,a1,a2,a3,a4,a5,a6,Aliases,Unused Aliases
0,read,3,int,void*,size_t,,,,,
1,write,3,int,void*,size_t,,,,,
2,open,3,char*,int,mode_t,,,,,
3,close,1,int,,,,,,,
4,stat,2,char*,struct stat*,,,,,,
5,fstat,2,int,struct stat*,,,,,,
6,lstat,2,char*,struct stat*,,,,,,
7,poll,3,struct pollfd*,nfds_t,int,,,,,
8,lseek,3,int,off_t,int,,,,,
9,mmap,6,void*,size_t,int,int,int,off_t,,mmap2
10,mprotect,3,void*,size_t,int,,,,,
11,munmap,2,void*,size_t,,,,,,
12,brk,1,void*,,,,,,,
13,rt_sigaction,4,int,struct sigaction*,struct sigaction*,size_t,,,,
14,rt_sigprocmask,4,int,sigset_t*,sigset_t*,size_t,,,,
15,rt_sigreturn,1,long,,,,,,,
16,ioctl,3,int,int,char*,,,,,
17,pread64,4,int,void*,size_t,off_t,,,,
18,pwrite64,4,int,void*,size_t,off_t,,,,
19,readv,3,int,struct iovec*,int,,,,,
20,writev,3,int,struct iovec*,int,,,,,
21,access,2,char*,int,,,,,,
22,pipe,1,int*,,,,,,,
23,select,5,int,fd_set*,fd_set*,fd_set*,struct timeval*,,,
24,sched_yield,0,,,,,,,,
25,mremap,5,void*,size_t,size_t,int,...,,,
26,msync,3,void*,size_t,int,,,,,
27,mincore,,,,,,,,,
28,madvise,3,void*,size_t,int,,,,,
29,shmget,,,,,,,,,
30,shmat,,,,,,,,,
31,shmctl,,,,,,,,,
32,dup,1,int,,,,,,,
33,dup2,2,int,int,,,,,,
34,pause,,,,,,,,,
35,nanosleep,2,struct timespec*,struct timespec*,,,,,,
36,getitimer,,,,,,,,,
37,alarm,1,int,,,,,,,
38,setitimer,3,int,struct itimerval*,struct itimerval*,,,,,
39,getpid,0,,,,,,,,
40,sendfile,,,,,,,,,
41,socket,3,int,int,int,,,,,
42,connect,3,int,struct sockaddr*,socklen_t,,,,,
43,accept,3,int,struct sockaddr*,socklen_t*,,,,,
44,sendto,4,int,void*,size_t,int,,,,
45,recvfrom,6,int,void*,size_t,int,struct sockaddr*,socklen_t*,,
46,sendmsg,3,int,struct msghdr*,int,,,,,
47,recvmsg,3,int,struct msghdr*,int,,,,,
48,shutdown,2,int,int,,,,,,
49,bind,3,int,struct sockaddr*,socklen_t,,,,,
50,listen,2,int,int,,,,,,
51,getsockname,3,int,struct sockaddr*,socklen_t*,,,,,
52,getpeername,3,int,struct sockaddr*,socklen_t*,,,,,
53,socketpair,,,,,,,,,
54,setsockopt,5,int,int,int,void*,socklen_t,,,
55,getsockopt,5,int,int,int,void*,socklen_t*,,,
56,clone,,,,,,,,,
57,fork,0,,,,,,,,
58,vfork,,,,,,,,,
59,execve,3,char*,char*,char*,,,,,
60,exit,1,int,,,,,,,
61,wait4,4,pid_t,int*,int,struct rusage*,,,,
62,kill,2,pid_t,int,,,,,,
63,uname,1,struct utsname*,,,,,,,
64,semget,,,,,,,,,
65,semop,,,,,,,,,
66,semctl,,,,,,,,,
67,shmdt,,,,,,,,,
68,msgget,,,,,,,,,
69,msgsnd,,,,,,,,,
70,msgrcv,,,,,,,,,
71,msgctl,,,,,,,,,
72,fcntl,3,int,int,...,,,,,
73,flock,2,int,int,,,,,,
74,fsync,1,int,,,,,,,
75,fdatasync,,,,,,,,,
76,truncate,,,,,,,,,
77,ftruncate,2,int,off_t,,,,,,
78,getdents,3,int,struct dirent*,int,,,,,
79,getcwd,2,char*,size_t,,,,,,
80,chdir,1,char*,,,,,,,
81,fchdir,,,,,,,,,
82,rename,,,,,,,,,
83,mkdir,2,char*,mode_t,,,,,,
84,rmdir,1,char*,,,,,,,
85,creat,,,,,,,,,
86,link,2,char*,char*,,,,,,
87,unlink,1,char*,,,,,,,
88,symlink,2,char*,char*,,,,,,
89,readlink,3,char*,char*,size_t,,,,,
90,chmod,2,char*,mode_t,,,,,,
91,fchmod,2,int,mode_t,,,,,,
92,chown,3,char*,uid_t,gid_t,,,,,
93,fchown,3,int,uid_t,gid_t,,,,,
94,lchown,,,,,,,,,
95,umask,1,mode_t,,,,,,,
96,gettimeofday,,,,,,,,,
97,getrlimit,,,,,,,,,
98,getrusage,,,,,,,,,
99,sysinfo,,,,,,,,,
100,times,,,,,,,,,
101,ptrace,,,,,,,,,
102,getuid,0,,,,,,,,
103,syslog,,,,,,,,,
104,getgid,0,,,,,,,,
105,setuid,,,,,,,,,
106,setgid,,,,,,,,,
107,geteuid,0,,,,,,,,
108,getegid,0,,,,,,,,
109,setpgid,2,pid_t,pid_t,,,,,,
110,getppid,0,,,,,,,,
111,getpgrp,,,,,,,,,
112,setsid,0,,,,,,,,
113,setreuid,,,,,,,,,
114,setregid,,,,,,,,,
115,getgroups,,,,,,,,,
116,setgroups,,,,,,,,,
117,setresuid,,,,,,,,,
118,getresuid,,,,,,,,,
119,setresgid,,,,,,,,,
120,getresgid,,,,,,,,,
121,getpgid,1,pid_t,,,,,,,
122,setfsuid,,,,,,,,,
123,setfsgid,,,,,,,,,
124,getsid,1,pid_t,,,,,,,
125,capget,,,,,,,,,
126,capset,,,,,,,,,
127,rt_sigpending,,,,,,,,,
128,rt_sigtimedwait,,,,,,,,,
